Deep Learning with 4 features
#,Data Point,,MI_dir_L1_weight,H_L1_weight,MI_dir_L3_weight,H_L3_weight,,Predicted,,True
1,[4.529117745 4.529117745 2.193058861 2.193058861],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,3.06 < H_L1_weight <= 372.30,3.06 < MI_dir_L1_weight <= 372.30,,0,,0
2,[1.071668715 1.071668715 1.00003164 1.00003164],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
3,[82.20570641 82.20570641 60.49478818 60.49478818],,3.06 < MI_dir_L1_weight <= 372.30,3.06 < H_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,,0,,0
4,[2.085692275 2.085692275 1.845140007 1.845140007],,H_L3_weight <= 2.95,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
5,[1.999736253 1.999736253 1.99920608 1.99920608],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
6,[14.93774592 14.93774592 13.05766892 13.05766892],,3.06 < H_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,3.06 < MI_dir_L1_weight <= 372.30,,0,,0
7,[1.999982331 1.999982331 1.999943979 1.999943979],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
8,[2.293081616 2.293081616 1.758820812 1.758820812],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
9,[3.999951391 3.999951391 3.999845818 3.999845818],,3.06 < H_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,3.06 < MI_dir_L1_weight <= 372.30,2.95 < H_L3_weight <= 140.94,,0,,0
10,[1.0000007359999998 1.0000007359999998 1.0 1.0],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
11,[2.24326637 2.24326637 1.159711672 1.159711672],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
12,[1.04943108 1.04943108 1.000032846 1.000032846],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
13,[1.842740983 1.842740983 1.59852477 1.59852477],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
14,[1.237087202 1.237087202 1.003028163 1.003028163],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
15,[2.605976855 2.605976855 2.006160274 2.006160274],,H_L3_weight <= 2.95,MI_dir_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
16,[2.109595147 2.109595147 1.73489604 1.73489604],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
17,[1.059971709 1.059971709 1.000086669 1.000086669],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
18,[9.704700382999999 9.704700382999999 8.90624741 8.90624741],,2.95 < MI_dir_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.95 < H_L3_weight <= 140.94,3.06 < MI_dir_L1_weight <= 372.30,,0,,0
19,[6.196337238 6.196337238 5.941270362000001 5.941270362000001],,3.06 < H_L1_weight <= 372.30,2.95 < H_L3_weight <= 140.94,2.95 < MI_dir_L3_weight <= 140.94,3.06 < MI_dir_L1_weight <= 372.30,,0,,0
20,[1.154037717 1.154037717 1.000146195 1.000146195],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
21,[2.999122584 2.999122584 2.996919135 2.996919135],,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,,0,,0
22,[3.365038041 3.365038041 2.991405659 2.991405659],,3.06 < H_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,3.06 < MI_dir_L1_weight <= 372.30,,0,,0
23,[2.330029499 2.330029499 1.744974175 1.744974175],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
24,[1.001155847 1.001155847 1.000000001 1.000000001],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
25,[2.020097375 2.020097375 1.1430607659999998 1.1430607659999998],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
26,[2.491258907 2.491258907 1.231927524 1.231927524],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
27,[1.060419734 1.060419734 1.000049195 1.000049195],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
28,[1.001573175 1.001573175 1.0 1.0],,H_L3_weight <= 2.95,MI_dir_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
29,[3.225671193 3.225671193 2.694336477 2.694336477],,H_L3_weight <= 2.95,MI_dir_L3_weight <= 2.95,3.06 < H_L1_weight <= 372.30,3.06 < MI_dir_L1_weight <= 372.30,,0,,0
30,[1.041773834 1.041773834 1.000018224 1.000018224],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
31,[3.987938853 3.987938853 3.120027864 3.120027864],,2.95 < MI_dir_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.95 < H_L3_weight <= 140.94,3.06 < MI_dir_L1_weight <= 372.30,,0,,0
32,[2.013206945 2.013206945 1.999998303 1.999998303],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,,0,,0
33,[1.000000032 1.000000032 1.0 1.0],,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L1_weight <= 3.06,MI_dir_L1_weight <= 3.06,,0,,0
