Deep Learning with 9 features
#,Data Point,,MI_dir_L1_weight,H_L1_weight,MI_dir_L3_weight,H_L3_weight,MI_dir_L0.1_weight,H_L0.1_weight,MI_dir_L5_weight,H_L5_weight,MI_dir_L0.01_weight,,Predicted,,True
1,[4.529117745 4.529117745 2.193058861 2.193058861 13.1153937 13.1153937 1.4068727369999998 1.4068727369999998 105.1902146],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,3.06 < MI_dir_L1_weight <= 372.30,3.06 < H_L1_weight <= 372.30,MI_dir_L5_weight <= 2.62,,0,,0
2,[1.071668715 1.071668715 1.00003164 1.00003164 9.480126337 9.480126337 1.000000015 1.000000015 101.7023987],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,100.09 < MI_dir_L0.01_weight <= 11161.10,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
3,[82.20570641 82.20570641 60.49478818 60.49478818 97.50797394 97.50797394 46.35764148 46.35764148 123.8771631],,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,3.06 < MI_dir_L1_weight <= 372.30,3.06 < H_L1_weight <= 372.30,2.62 < H_L5_weight <= 92.61,2.95 < MI_dir_L3_weight <= 140.94,2.95 < H_L3_weight <= 140.94,2.62 < MI_dir_L5_weight <= 92.61,,0,,0
4,[2.085692275 2.085692275 1.845140007 1.845140007 10.68448675 10.68448675 1.755304175 1.755304175 97.66559538],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
5,[1.999736253 1.999736253 1.99920608 1.99920608 2.769006001 2.769006001 1.99867715 1.99867715 19.29931607],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L3_weight <= 2.95,MI_dir_L1_weight <= 3.06,H_L3_weight <= 2.95,H_L1_weight <= 3.06,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
6,[14.93774592 14.93774592 13.05766892 13.05766892 46.83653392 46.83653392 12.48299853 12.48299853 162.1508039],,11.01 < MI_dir_L0.1_weight <= 3427.45,100.09 < MI_dir_L0.01_weight <= 11161.10,11.01 < H_L0.1_weight <= 3427.45,3.06 < MI_dir_L1_weight <= 372.30,2.95 < MI_dir_L3_weight <= 140.94,3.06 < H_L1_weight <= 372.30,2.62 < H_L5_weight <= 92.61,2.62 < MI_dir_L5_weight <= 92.61,2.95 < H_L3_weight <= 140.94,,0,,0
7,[1.999982331 1.999982331 1.999943979 1.999943979 2.731440611 2.731440611 1.999906633 1.999906633 18.38811342],,MI_dir_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,H_L0.1_weight <= 11.01,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,H_L3_weight <= 2.95,MI_dir_L3_weight <= 2.95,MI_dir_L5_weight <= 2.62,H_L5_weight <= 2.62,,0,,0
8,[2.293081616 2.293081616 1.758820812 1.758820812 11.79773484 11.79773484 1.627882056 1.627882056 99.84213828],,MI_dir_L0.01_weight <= 100.09,11.01 < MI_dir_L0.1_weight <= 3427.45,11.01 < H_L0.1_weight <= 3427.45,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
9,[3.999951391 3.999951391 3.999845818 3.999845818 5.394619872000001 5.394619872000001 3.999743034 3.999743034 29.49122483],,MI_dir_L0.01_weight <= 100.09,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,2.95 < MI_dir_L3_weight <= 140.94,3.06 < MI_dir_L1_weight <= 372.30,3.06 < H_L1_weight <= 372.30,2.62 < MI_dir_L5_weight <= 92.61,2.62 < H_L5_weight <= 92.61,2.95 < H_L3_weight <= 140.94,,0,,0
10,[1.0000007359999998 1.0000007359999998 1.0 1.0 2.063312997 2.063312997 1.0 1.0 26.491947600000003],,MI_dir_L0.1_weight <= 11.01,H_L0.1_weight <= 11.01,MI_dir_L0.01_weight <= 100.09,MI_dir_L1_weight <= 3.06,H_L1_weight <= 3.06,MI_dir_L3_weight <= 2.95,H_L3_weight <= 2.95,H_L5_weight <= 2.62,MI_dir_L5_weight <= 2.62,,0,,0
