Feature,Fisher's Score 
MI_dir_L0.01_weight,1.0332539
H_L0.01_weight,1.0332539
MI_dir_L0.01_mean,0.7662551
H_L0.01_mean,0.7662551
MI_dir_L0.1_mean,0.7549406
H_L0.1_mean,0.7549406
MI_dir_L0.01_variance,0.7256689
H_L0.01_variance,0.7256689
MI_dir_L1_mean,0.7169085
H_L1_mean,0.7169085
MI_dir_L0.1_variance,0.7100778
H_L0.1_variance,0.7100778
MI_dir_L1_variance,0.6991145
H_L1_variance,0.6991145
MI_dir_L3_mean,0.6432712
H_L3_mean,0.6432712
MI_dir_L3_variance,0.6109602
H_L3_variance,0.6109602
MI_dir_L0.1_weight,0.6071342
H_L0.1_weight,0.6071342
MI_dir_L5_mean,0.5761719
H_L5_mean,0.5761719
MI_dir_L5_variance,0.5115851
H_L5_variance,0.5115851
MI_dir_L5_weight,0.4774951
H_L5_weight,0.4774951
MI_dir_L3_weight,0.4525833
H_L3_weight,0.4525833
MI_dir_L1_weight,0.4473067
H_L1_weight,0.4473067
HH_L0.01_mean,0.297463
HH_L0.1_mean,0.2973964
HpHp_L0.01_mean,0.2968294
HH_L1_mean,0.2968126
HH_L3_mean,0.2966041
HpHp_L5_mean,0.2965486
HH_L5_mean,0.2965311
HpHp_L3_mean,0.2964276
HpHp_L0.1_mean,0.2963606
HpHp_L1_mean,0.2962861
HH_L0.01_std,0.2760523
HpHp_L0.01_magnitude,0.2697463
HpHp_L0.1_magnitude,0.2680082
HpHp_L5_magnitude,0.2663623
HpHp_L3_magnitude,0.2663137
HpHp_L1_magnitude,0.2663033
HH_L0.01_magnitude,0.258898
HH_L0.1_magnitude,0.2553345
HH_L1_magnitude,0.2518082
HH_L5_magnitude,0.2514484
HH_L3_magnitude,0.2513959
HH_L0.1_std,0.1690903
HH_jit_L0.01_mean,0.1603593
HH_jit_L0.1_mean,0.157212
HH_jit_L1_mean,0.1443128
HH_jit_L3_mean,0.1417208
HH_jit_L5_mean,0.1416395
HpHp_L0.01_std,0.13686
HH_L0.01_weight,0.1282669
HH_jit_L0.01_weight,0.1282669
HpHp_L0.1_std,0.1152248
HH_L1_std,0.1024602
HH_L3_std,0.0897373
HH_L5_std,0.085043
HH_L0.01_pcc,0.0803186
HpHp_L1_std,0.0795715
HpHp_L3_std,0.07345
HpHp_L5_std,0.0701783
HH_L0.01_radius,0.0629375
HH_L0.1_radius,0.0529921
HH_L1_radius,0.052042
HH_L0.1_weight,0.0508538
HH_jit_L0.1_weight,0.0508538
HH_L3_radius,0.049942
HH_L5_radius,0.0484823
HH_L1_weight,0.0436655
HH_jit_L1_weight,0.0436655
HpHp_L0.01_pcc,0.0422613
HH_L3_weight,0.0421607
HH_jit_L3_weight,0.0421607
HH_L5_weight,0.0410838
HH_jit_L5_weight,0.0410838
HpHp_L0.1_weight,0.0406949
HpHp_L1_weight,0.0386357
HpHp_L3_weight,0.0368138
HpHp_L0.01_weight,0.0358453
HpHp_L5_weight,0.035385
HpHp_L0.01_radius,0.0331596
HpHp_L1_radius,0.0320645
HH_jit_L0.01_variance,0.0320488
HpHp_L0.1_radius,0.0314222
HH_jit_L0.1_variance,0.0307897
HpHp_L3_radius,0.0304304
HpHp_L1_covariance,0.0301357
HpHp_L5_radius,0.0300658
HpHp_L3_covariance,0.0292719
HpHp_L5_covariance,0.0287592
HH_L1_covariance,0.0237465
HH_L0.1_pcc,0.0235398
HpHp_L3_pcc,0.023094
HpHp_L5_pcc,0.0226914
HH_L3_covariance,0.02101
HpHp_L0.1_pcc,0.0200237
HH_L5_covariance,0.0195958
HH_L0.1_covariance,0.01952
HpHp_L1_pcc,0.0176785
HpHp_L0.1_covariance,0.0168744
HH_jit_L1_variance,0.0138402
HpHp_L0.01_covariance,0.0103384
HH_L1_pcc,0.0031275
HH_L3_pcc,0.0028296
HH_L5_pcc,0.0022945
HH_L0.01_covariance,0.0008715
HH_jit_L3_variance,0.0004915
HH_jit_L5_variance,0.0002403
