Feature,Score
MI_dir_L0.1_weight,3.34
H_L0.1_weight,3.34
MI_dir_L1_weight,3.18
H_L1_weight,3.18
MI_dir_L3_weight,3.01
H_L3_weight,3.01
MI_dir_L5_weight,2.86
H_L5_weight,2.86
MI_dir_L0.01_weight,1.65
H_L0.01_weight,1.65
HH_L0.1_weight,0.59
HH_jit_L0.1_weight,0.59
HH_L1_weight,0.54
HH_jit_L1_weight,0.54
HH_L3_weight,0.51
HH_jit_L3_weight,0.51
HH_jit_L0.01_weight,0.50
HH_L0.01_weight,0.50
HH_L5_weight,0.49
HH_jit_L5_weight,0.49
HH_jit_L0.01_mean,0.29
HH_jit_L0.1_mean,0.29
HH_jit_L1_mean,0.27
HH_jit_L5_mean,0.26
HH_jit_L3_mean,0.26
MI_dir_L1_variance,0.17
H_L1_variance,0.17
MI_dir_L0.01_mean,0.17
H_L0.01_mean,0.17
HH_L0.01_std,0.17
MI_dir_L0.1_mean,0.16
H_L0.1_mean,0.16
MI_dir_L1_mean,0.15
H_L1_mean,0.15
MI_dir_L3_variance,0.15
H_L3_variance,0.15
MI_dir_L3_mean,0.14
H_L3_mean,0.14
MI_dir_L5_mean,0.13
H_L5_mean,0.13
MI_dir_L5_variance,0.12
H_L5_variance,0.12
HH_L0.1_std,0.11
MI_dir_L0.1_variance,0.10
H_L0.1_variance,0.10
HpHp_L0.01_mean,0.09
HH_L1_mean,0.09
HH_L3_mean,0.09
HH_L5_mean,0.09
HH_L0.1_mean,0.09
HH_L0.01_mean,0.09
HpHp_L0.1_mean,0.09
HpHp_L1_mean,0.08
HpHp_L3_mean,0.08
HpHp_L5_mean,0.08
HpHp_L0.01_std,0.08
MI_dir_L0.01_variance,0.07
H_L0.01_variance,0.07
HH_L0.01_radius,0.07
HH_L1_std,0.06
HpHp_L0.1_std,0.06
HH_L3_std,0.06
HH_L5_std,0.05
HH_L0.01_pcc,0.05
HH_L0.1_radius,0.05
HpHp_L1_std,0.04
HpHp_L3_std,0.04
HpHp_L5_std,0.04
HH_L1_radius,0.04
HH_L3_radius,0.04
HH_L5_radius,0.04
HpHp_L0.1_weight,0.03
HpHp_L0.01_radius,0.03
HpHp_L0.01_weight,0.03
HpHp_L1_weight,0.03
HpHp_L0.1_radius,0.03
HpHp_L0.01_magnitude,0.02
HpHp_L0.1_magnitude,0.02
HpHp_L1_radius,0.02
HpHp_L3_radius,0.02
HpHp_L5_radius,0.02
HpHp_L1_magnitude,0.02
HpHp_L3_magnitude,0.02
HpHp_L5_magnitude,0.02
HpHp_L3_weight,0.02
HH_L0.01_magnitude,0.02
HH_L0.1_magnitude,0.02
HpHp_L5_weight,0.02
HpHp_L5_covariance,0.02
HpHp_L3_covariance,0.02
HH_L5_magnitude,0.02
HH_L1_magnitude,0.02
HH_L3_magnitude,0.02
HpHp_L1_covariance,0.01
HpHp_L0.01_pcc,0.01
HpHp_L5_pcc,0.01
HpHp_L0.1_covariance,0.01
HpHp_L3_pcc,0.01
HH_jit_L0.1_variance,0.01
HH_L1_covariance,0.01
HH_L0.1_covariance,0.01
HH_jit_L0.01_variance,0.01
HpHp_L0.01_covariance,0.01
HH_L0.1_pcc,0.01
HH_L3_covariance,0.01
HpHp_L1_pcc,0.01
HH_L5_covariance,0.01
HpHp_L0.1_pcc,0.01
HH_jit_L1_variance,0.00
HH_jit_L3_variance,0.00
HH_jit_L5_variance,0.00
HH_L3_pcc,0.00
HH_L5_pcc,0.00
HH_L1_pcc,0.00
HH_L0.01_covariance,0.00
