Feature,Score
MI_dir_L3_weight,1.96
H_L3_weight,1.96
MI_dir_L5_weight,1.93
H_L5_weight,1.93
MI_dir_L1_weight,1.87
H_L1_weight,1.87
MI_dir_L0.1_weight,1.70
H_L0.1_weight,1.70
MI_dir_L0.01_weight,1.43
H_L0.01_weight,1.43
HH_jit_L1_weight,0.98
HH_L1_weight,0.98
HH_L3_weight,0.94
HH_jit_L3_weight,0.94
HH_L5_weight,0.90
HH_jit_L5_weight,0.90
HH_jit_L0.1_weight,0.86
HH_L0.1_weight,0.86
H_L0.01_mean,0.69
MI_dir_L0.01_mean,0.69
H_L0.1_mean,0.65
MI_dir_L0.1_mean,0.65
MI_dir_L1_mean,0.59
H_L1_mean,0.59
MI_dir_L3_mean,0.54
H_L3_mean,0.54
MI_dir_L1_variance,0.53
H_L1_variance,0.53
MI_dir_L5_mean,0.49
H_L5_mean,0.49
H_L0.01_variance,0.48
MI_dir_L0.01_variance,0.48
MI_dir_L0.1_variance,0.47
H_L0.1_variance,0.47
MI_dir_L3_variance,0.45
H_L3_variance,0.45
HH_L0.01_weight,0.38
HH_jit_L0.01_weight,0.38
MI_dir_L5_variance,0.36
H_L5_variance,0.36
HH_jit_L5_mean,0.31
HH_jit_L3_mean,0.31
HH_jit_L1_mean,0.31
HpHp_L0.01_mean,0.30
HH_L0.1_mean,0.30
HH_L0.01_mean,0.30
HH_L1_mean,0.30
HH_L3_mean,0.30
HH_L5_mean,0.30
HpHp_L0.1_mean,0.29
HpHp_L1_mean,0.29
HpHp_L3_mean,0.29
HpHp_L5_mean,0.29
HH_jit_L0.1_mean,0.28
HH_jit_L0.01_mean,0.28
HH_L0.01_std,0.23
HpHp_L0.01_magnitude,0.22
HpHp_L0.1_magnitude,0.21
HpHp_L1_magnitude,0.21
HpHp_L3_magnitude,0.21
HpHp_L5_magnitude,0.21
HH_L0.01_magnitude,0.20
HH_L0.1_magnitude,0.19
HH_L1_magnitude,0.19
HH_L3_magnitude,0.19
HH_L5_magnitude,0.19
HH_L0.1_std,0.15
HH_jit_L0.01_variance,0.12
HH_jit_L0.1_variance,0.11
HpHp_L0.01_std,0.10
HH_L1_std,0.09
HH_L0.01_radius,0.08
HpHp_L0.1_std,0.08
HH_L3_std,0.07
HH_L5_std,0.07
HH_L0.1_radius,0.06
HH_L0.01_pcc,0.06
HpHp_L1_std,0.06
HpHp_L0.1_weight,0.06
HpHp_L3_std,0.06
HpHp_L5_std,0.05
HH_L1_radius,0.05
HpHp_L0.01_weight,0.05
HpHp_L1_weight,0.05
HH_L3_radius,0.05
HH_L5_radius,0.05
HH_jit_L1_variance,0.05
HpHp_L3_weight,0.04
HpHp_L0.01_radius,0.04
HpHp_L5_weight,0.04
HpHp_L0.1_radius,0.03
HpHp_L1_radius,0.03
HpHp_L3_radius,0.03
HpHp_L5_radius,0.03
HpHp_L5_covariance,0.02
HpHp_L3_covariance,0.02
HpHp_L1_covariance,0.02
HpHp_L0.01_pcc,0.02
HpHp_L5_pcc,0.02
HpHp_L3_pcc,0.02
HpHp_L0.1_covariance,0.02
HH_L1_covariance,0.02
HH_L0.1_covariance,0.01
HpHp_L1_pcc,0.01
HpHp_L0.01_covariance,0.01
HH_L3_covariance,0.01
HH_L0.1_pcc,0.01
HpHp_L0.1_pcc,0.01
HH_L5_covariance,0.01
HH_jit_L3_variance,0.00
HH_L3_pcc,0.00
HH_jit_L5_variance,0.00
HH_L1_pcc,0.00
HH_L5_pcc,0.00
HH_L0.01_covariance,0.00
